fit_date,regime,hypothesis,weight
2023-07-01,bull,cme,0.2
2023-07-01,bull,crypto_derivatives,0.2
2023-07-01,bull,classic_cycle,0.2
2023-07-01,bull,etf_flows,0.2
2023-07-01,neutral,macro_equities,0.45608281233985865
2023-07-01,neutral,cme,0.13836220149636147
2023-07-01,neutral,crypto_derivatives,0.3920262375730245
2023-07-01,neutral,classic_cycle,0.013528748590755356
2023-07-01,neutral,etf_flows,0.0
2023-07-01,bear,macro_equities,0.1567992443409911
2023-07-01,bear,cme,0.6068886415005229
2023-07-01,bear,crypto_derivatives,0.05262625240360285
2023-07-01,bear,classic_cycle,0.18368586175488316
2023-07-01,bear,etf_flows,0.0
2023-08-01,bull,macro_equities,0.37648391291581024
2023-08-01,bull,cme,0.3607533873065145
2023-08-01,bull,crypto_derivatives,0.2548345148705903
2023-08-01,bull,classic_cycle,0.007928184907085028
2023-08-01,bull,etf_flows,0.0
2023-08-01,neutral,macro_equities,0.45608281233985865
2023-08-01,neutral,cme,0.13836220149636147
2023-08-01,neutral,crypto_derivatives,0.3920262375730245
2023-08-01,neutral,classic_cycle,0.013528748590755356
2023-08-01,neutral,etf_flows,0.0
2023-08-01,bear,macro_equities,0.1567992443409911
2023-08-01,bear,cme,0.6068886415005229
2023-08-01,bear,crypto_derivatives,0.05262625240360285
2023-08-01,bear,classic_cycle,0.18368586175488316
2023-08-01,bear,etf_flows,0.0
2023-09-01,bull,macro_equities,0.3659085791488404
2023-09-01,bull,cme,0.3538456589571204
2023-09-01,bull,crypto_derivatives,0.27262199633287226
2023-09-01,bull,classic_cycle,0.007623765561167049
2023-09-01,bull,etf_flows,0.0
2023-09-01,neutral,macro_equities,0.46057251435416585
2023-09-01,neutral,cme,0.14250898426205125
2023-09-01,neutral,crypto_derivatives,0.3841546532281383
2023-09-01,neutral,classic_cycle,0.012763848155644596
2023-09-01,neutral,etf_flows,0.0
2023-09-01,bear,macro_equities,0.1567992443409911
2023-09-01,bear,cme,0.6068886415005229
2023-09-01,bear,crypto_derivatives,0.05262625240360285
2023-09-01,bear,classic_cycle,0.18368586175488316
2023-09-01,bear,etf_flows,0.0
2023-10-01,bull,macro_equities,0.3659085791488404
2023-10-01,bull,cme,0.3538456589571204
2023-10-01,bull,crypto_derivatives,0.27262199633287226
2023-10-01,bull,classic_cycle,0.007623765561167049
2023-10-01,bull,etf_flows,0.0
2023-10-01,neutral,macro_equities,0.4898431875802059
2023-10-01,neutral,cme,0.1549344267426211
2023-10-01,neutral,crypto_derivatives,0.342733731885192
2023-10-01,neutral,classic_cycle,0.01248865379198097
2023-10-01,neutral,etf_flows,0.0
2023-10-01,bear,macro_equities,0.1567992443409911
2023-10-01,bear,cme,0.6068886415005229
2023-10-01,bear,crypto_derivatives,0.05262625240360285
2023-10-01,bear,classic_cycle,0.18368586175488316
2023-10-01,bear,etf_flows,0.0
2023-11-01,bull,macro_equities,0.3611034100360411
2023-11-01,bull,cme,0.35070695869143337
2023-11-01,bull,crypto_derivatives,0.2807041863044081
2023-11-01,bull,classic_cycle,0.007485444968117549
2023-11-01,bull,etf_flows,0.0
2023-11-01,neutral,macro_equities,0.49721400197285986
2023-11-01,neutral,cme,0.1586285958036737
2023-11-01,neutral,crypto_derivatives,0.33192033911861163
2023-11-01,neutral,classic_cycle,0.012237063104854836
2023-11-01,neutral,etf_flows,0.0
2023-11-01,bear,macro_equities,0.1567992443409911
2023-11-01,bear,cme,0.6068886415005229
2023-11-01,bear,crypto_derivatives,0.05262625240360285
2023-11-01,bear,classic_cycle,0.18368586175488316
2023-11-01,bear,etf_flows,0.0
2023-12-01,bull,macro_equities,0.35289971808296416
2023-12-01,bull,cme,0.3453483689085783
2023-12-01,bull,crypto_derivatives,0.2945026178010472
2023-12-01,bull,classic_cycle,0.00724929520741039
2023-12-01,bull,etf_flows,0.0
2023-12-01,neutral,macro_equities,0.49721400197285986
2023-12-01,neutral,cme,0.1586285958036737
2023-12-01,neutral,crypto_derivatives,0.33192033911861163
2023-12-01,neutral,classic_cycle,0.012237063104854836
2023-12-01,neutral,etf_flows,0.0
2023-12-01,bear,macro_equities,0.1567992443409911
2023-12-01,bear,cme,0.6068886415005229
2023-12-01,bear,crypto_derivatives,0.05262625240360285
2023-12-01,bear,classic_cycle,0.18368586175488316
2023-12-01,bear,etf_flows,0.0
